"Species","Tissue","Cell Type","Cancer","Cell Marker","Source","Supported Sources","Details"
"Human","Germ","Embryonic stem cell","Normal","CCR4, CD133, CD15, CD24, CD29, CD30, CD324, CD338, CD49f, CD9, Frizzled-5, GCTM-2, Podocalyxin, SSEA-3, SSEA-4, TRA-1-60, TRA-1-81","Company","1","more details"
"Human","Germ","Endothelial cell","Normal","CD105, CD106, CD31, CD34, CD62E","Company","1","more details"
"Human","Germ","Granulocyte-monocyte progenitor","Normal","CD123, CD34, CD38, CD45RA","Company","1","more details"
"Human","Germ","Hemangioblast","Normal","CD133, CD143, CD144, CD202b, CD309, CD31, CD324, CD34, EPHB4, Podocalyxin","Company","1","more details"
"Human","Germ","Hematopoietic stem cell","Normal","CD105, CD106, CD117, CD133, CD164, CD184, CD202b, CD338, CD34, CD38, CD90, FLK-1, NOTCH1","Company","1","more details"
"Human","Germ","Megakaryocyte-erythroid progenitor","Normal","CD123, CD34, CD38, CD45RA","Company","1","more details"
"Human","Germ","Mesenchymal stem cell","Normal","CD105, CD166, CD44, CD45, CD73, CD90","Company","1","more details"
"Human","Germ","Mesoderm cell","Normal","CD10, CD105, CD106, CD13, CD14, CD15, CD29, CD31, CD44, CD49d, CD49f, CD5, CD54, CD71, CD72, CD73, CD90, STRO-1","Company","1","more details"
"Human","Germ","Mesodermal embryonic stem cell","Normal","CD31, CD325, CD34","Company","1","more details"
"Human","Germ","Myeloblast","Normal","CD114, CD116, CD13, CD15, CD33, CD91","Company","1","more details"
"Human","Germ","Neural crest cell","Normal","CD271, CD49d, CD57, NOTCH1","Company","1","more details"
"Human","Germ","Neural tube cell","Normal","ABCG2, CD146, CD15, CD184, CD271, CD288, CD349, CD49f, CD57, CD81, CD95, Neuroglycan-C, Neuropilin-2, NOTCH1","Company","1","more details"
"Human","Germ","Primitive endoderm cell","Normal","CD325","Company","1","more details"
"Human","Germ","Proerythroblast","Normal","CD105, CD71, Glycophorin, PU.1","Company","1","more details"
"Human","Heart","Cardiac progenitor cell","Normal","ABCG2, CD117, CD34, ETV2, GATA4, CD29, ISLET-1, NKX2.5, SCA-1, SCF, SSEA-1, TBX18, WT1","Company","1","more details"
"Human","Heart","Cardiomyocyte","Normal","alpha-Sarcoglycan, ANP, Beta-Sarcoglycan, BMP4, GJA4, GJA5, Cripto, Desmin, epsilon-Sarcoglycan, FABP3, GATA4, GATA6, HCN4, KIR2.1, LRG1, MEF2C, MYH6, MYH7, Myosin Heavy Chain, NKX2.5, TBX5, Troponin T","Company","1","more details"
"Human","Heart","Smooth muscle cell","Normal","alpha-smooth muscle actin, CALD1, Calponin 1, Hexim 1, Histamine H2 R, GPR38, TAGLN, VE-Cadherin","Company","1","more details"
"Human","Intestine","Myeloid dendritic cell","Normal","CD11b, CD11c, CD197, CD1a, CD1b, CD1c, CD205, CD207, CD209, CD273, CD304, CD4, CD40, CD49d, CD80, CD83, CD86, F4/80, HLA-DR, MHC Class II","Company","1","more details"
"Human","Lung","Epithelial cell","Normal","CD103, CD106, CD126, CD13, CD130, CD141, CD1d, CD24, CD324, iNOS","Company","1","more details"
"Human","Lung","Myeloid dendritic cell","Normal","CD11b, CD11c, CD197, CD1a, CD1b, CD1c, CD205, CD207, CD209, CD273, CD304, CD4, CD40, CD49d, CD80, CD83, CD86, F4/80, HLA-DR, MHC Class II","Company","1","more details"
"Human","Muscle","Mesenchymal stem cell","Normal","CD10, CD105, CD106, CD117, CD120a, CD13, CD140b, CD166, CD19, CD271, CD29, CD31, CD34, CD340, CD44, CD45, CD49d, CD49e, CD51, CD56, CD71, CD73, CD90, Ly6A/E","Company","1","more details"
"Human","Peripheral blood","Basophil","Normal","CD117, CD11b, CD123, CD15, CD203c","Company","1","more details"
"Human","Peripheral blood","CD4+ T helper cell","Normal","CD3, CD4, CD45","Company","1","more details"
"Human","Peripheral blood","CD4+CD25+ regulatory T cell","Normal","CD25, CD3, CD4, CD45","Company","1","more details"
"Human","Peripheral blood","CD8+ cytotoxic T cell","Normal","CD3, CD8","Company","1","more details"
"Human","Peripheral blood","Effector regulatory T (Treg) cell","Normal","CD25, CD4, CD49d","Company","1","more details"
"Human","Peripheral blood","Eosinophil","Normal","CD11b, CD15, CD16, CD193, CD66b, SIGLEC8","Company","1","more details"
"Human","Peripheral blood","Induced regulatory T (Treg) cell","Normal","CD127, CD25, CD4","Company","1","more details"
"Human","Peripheral blood","Naive regulatory T (Treg) cell","Normal","CD127, CD25, CD4, CD45RA","Company","1","more details"
"Human","Peripheral blood","Natural killer T (NKT) cell","Normal","CD16, CD3, CD45, CD56, Granzyme, NK1.1","Company","1","more details"
"Human","Peripheral blood","Natural regulatory T (Treg) cell","Normal","CD127, CD25, CD4, HELIOS","Company","1","more details"
"Human","Peripheral blood","Neutrophil","Normal","CD11b, CD15, CD16, CD49d, CD66b","Company","1","more details"
"Human","Peripheral blood","T cell","Normal","CD2, CD3, CD45, CD5, CD6","Company","1","more details"
"Human","Skin","Epidermal stem cell","Normal","CD200, CD34, CD49f, Nestin, MCSP, P63, Tenascin C, YAP1","Company","1","more details"
"Human","Skin","Epidermal stem cell","Normal","CD29, Cytokeratin-14, Frizzled-2, Frizzled-3, Frizzled-7","Company","1","more details"
"Human","Skin","Epithelial cell","Normal","CD103, CD106, CD126, CD13, CD130, CD141, CD1d, CD24, CD324, iNOS","Company","1","more details"
"Human","Skin","Myeloid dendritic cell","Normal","CD11b, CD11c, CD197, CD1a, CD1b, CD1c, CD205, CD207, CD209, CD273, CD304, CD4, CD40, CD49d, CD80, CD83, CD86, F4/80, HLA-DR, MHC Class II","Company","1","more details"
"Human","Small intestine","Intestinal stem cell","Normal","ALK3, ASCL2, BMI1, CD166, CD24, DCLK1, EPHB2, LGR5, Musashi-1, SOX9, Telomerase Inhibitors","Company","1","more details"
"Human","Stomach","Myeloid dendritic cell","Normal","CD11b, CD11c, CD197, CD1a, CD1b, CD1c, CD205, CD207, CD209, CD273, CD304, CD4, CD40, CD49d, CD80, CD83, CD86, F4/80, HLA-DR, MHC Class II","Company","1","more details"
"Human","Tendon","Mesenchymal stem cell","Normal","CD10, CD105, CD106, CD117, CD120a, CD13, CD140b, CD166, CD19, CD271, CD29, CD31, CD34, CD340, CD44, CD45, CD49d, CD49e, CD51, CD56, CD71, CD73, CD90, Ly6A/E","Company","1","more details"
"Human","Undefined","Cancer stem cell","Acute Myeloid Leukemia","CD123, CD34, CD38, CD44, TIM-3","Company","1","more details"
"Human","Undefined","Cancer stem cell","Bladder Cancer","Aldehyde Dehydrogenase 1-A1, CD44, CD47, CEACAM6","Company","1","more details"
"Human","Undefined","Cancer stem cell","Breast Cancer","ALDH1A1, BMI1, CD133, CD24, CD44, GJA1, CXCR1, CXCR4, DLL4, EpCAM, ERBB2, GLI1, GLI2, IL-1 alpha, IL-6R-alpha, CD49f, PON1, PTEN","Company","1","more details"
"Human","Undefined","Cancer stem cell","Breast Cancer","ALDH1A1, Integrin alpha 6, BMI1, CD133, CD24, CD44, CD90, CXCR4, EpCAM, GLI1, LGR5","Company","1","more details"
"Human","Undefined","Cancer stem cell","Colon Cancer","CD166, ALDH1A1, CD133, CD44, CD26, EpCAM, GLI1, LGR5, Musashi-1","Company","1","more details"
"Human","Undefined","Cancer stem cell","Gastric Cancer","CD44, DLL4, LGR5","Company","1","more details"
"Human","Undefined","Cancer stem cell","Glioma","TNFAIP3, ABCG2, ALDH1A1, BMI1, c-Maf, c-Myc, CD133, CD15, CD44, CX3CL1, CX3CR1, CXCR4, EPAS1, IL-6R-alpha, CD49f, L1CAM, Musashi-1, Nestin, Podoplanin, SOX2","Company","1","more details"
"Human","Undefined","Cancer stem cell","Head And Neck Squamous Cell Carcinoma","ABCG2, ALDH1A1, BMI1, CD44, c-MET, LGR5","Company","1","more details"
"Human","Undefined","Cancer stem cell","Leukemia","BMI1, CD117, CD34, CD38, CD44, CD47, CD96, GLI1, GLI2, CD123, CLEC12A, Musashi-2, TIM-3","Company","1","more details"
"Human","Undefined","Cancer stem cell","Liver Cancer","AFP, CD13, CD45, CD90, NF2","Company","1","more details"
"Human","Undefined","Cancer stem cell","Lung Cancer","ABCG2, Aldehyde Dehydrogenase 1-A1, CD117, CD90, EpCAM","Company","1","more details"
"Human","Undefined","Cancer stem cell","Melanoma","ABCB5, ABCG2, CD166, CD133, CD20, Nestin, NGFR","Company","1","more details"
"Human","Undefined","Cancer stem cell","Melanoma","ABCG2, ALCAM, CD133","Company","1","more details"
"Human","Undefined","Cancer stem cell","Multiple Myeloma","ABCB5, CD19, CD20, CD27, CD38, CD138","Company","1","more details"
"Human","Undefined","Activated B cell","Normal","CD19, CD86, MHC class II","Company","1","more details"
"Human","Undefined","Activated T cell","Normal","CD134, CD137, CD154, CD25, CD27, CD28, CD3, CD4, CD69, CD8, CD95, Ki67, KLRG1","Company","1","more details"
"Human","Undefined","Astrocyte","Normal","ALDH1L1, GLAST, GLT1, GFAP, Glutamine synthetase, S100-beta","Company","1","more details"
"Human","Undefined","Astrocyte","Normal","GFAP","Company","1","more details"
"Human","Undefined","B cell","Normal","B220, BAFF-R, CD137, CD138, CD19, CD2, CD20, CD21, CD22, CD23, CD267, CD35, CD40, CD45R, CD5, CD69, CD70, CD79a, CD79b, CD80, CD86, IgD, IgM, OX40L, PD-1","Company","1","more details"
"Human","Undefined","B cell","Normal","BCR, CCR10, CD10, CD115, CD11b, CD11c, CD122, CD126, CD127, CD130, CD138, CD14, CD152, CD16, CD163, CD183, CD185, CD19, CD192, CD194, CD196, CD1c, CD1d, CD20, CD21, CD212, CD217, CD218a, CD22, CD229, CD23, CD24, CD25, CD268, CD27, CD279, CD284, CD31, CD319, CD32, CD34, CD38, CD39, CD40, CD43, CD45, CD45RA, CD45RO, CD48, CD49d, CD5, CD62L, CD68, CD69, CD73, CD78, CD79a, CD79b, CD80, CD81, CD83, CD84, CD86, CD9, CXCR3, Flt3, IgM, IL-13alpha1, IL-21R, MHC class II, RAG, ZAP70","Company","1","more details"
"Human","Undefined","B cell","Normal","CD19, CD20, CD22, CD70, CD79a, CD79b","Company","1","more details"
"Human","Undefined","B cell","Normal","CD19, CD20, CD45","Company","1","more details"
"Human","Undefined","B cell","Normal","CD19","Company","1","more details"
"Human","Undefined","Basophil","Normal","CCR3, CD107a, CD123, CD13, CD203c, CD44, CD54, CD63, CD69, Fc-epsilon RI-alpha, IgE, TLR4","Company","1","more details"
"Human","Undefined","Basophil","Normal","CD19, CD22, CD45, CD123","Company","1","more details"
"Human","Undefined","Basophil","Normal","CEBPA, CD11a, CD123, CD125, CD13, CD154, CD16, CD192, CD203c, CD218, CD25, CD281, CD282, CD284, CD286, CD289, CD294, CD33, CD38, CD43, CD88, CD9, Fc-epsilon RI-alpha, GATA2","Company","1","more details"
"Human","Undefined","Cardiomyocyte","Normal","PCM1","Company","1","more details"
"Human","Undefined","CD4+ T cell","Normal","CD127, CD134, CD137, CD154, CD2, CD25, CD27, CD272, CD28, CD3, CD4, CD45RA, CD45RO, CD5, CD62, CD69, CD7, CTLA4, PD-1","Company","1","more details"
"Human","Undefined","CD8+ cytotoxic T cell","Normal","CD107a, CD178, CD253, CD3, CD8, Granzyme B, IFN-gamma, Perforin, TNF-alpha","Company","1","more details"
"Human","Undefined","CD8+ T cell","Normal","CD2, CD25, CD27, CD28, CD3, CD5, CD7, CD8","Company","1","more details"
"Human","Undefined","Central memory T cell","Normal","CCR7, CD127, CD197, CD27, CD28, CD45RO, CD62L, CD62L, EOMES, T-bet","Company","1","more details"
"Human","Undefined","Cholinergic neuron","Normal","Acetylcholinesterase, Choline acetyltransferase, Vesicular acetylcholine transporter","Company","1","more details"
"Human","Undefined","Common lymphoid progenitor","Normal","CD10, CD34, CD38, CD45RA","Company","1","more details"
"Human","Undefined","Common myeloid progenitor","Normal","CD10, CD135, CD34, CD38, CD45RA, CD7, CD90","Company","1","more details"
"Human","Undefined","Conventional dendritic cell","Normal","CD11c, CD135, CD14, CD141, CD172a, CD197, CD1b, CD1c, CD205, CD206, CD207, CD273, CD282, CD284, CD289, CD369, CD370, CD40, CD49d","Company","1","more details"
"Human","Undefined","Cytotoxic T cell","Normal","CD10, CD127, CD165, CD1a, CD200, CD3, CD34, CD38, CD45RA, CD45RO, CD5, CD62, CD7, CD8, Flt3, Granzyme A, Granzyme B, TCR alpha/beta","Company","1","more details"
"Human","Undefined","Cytotoxic T cell","Normal","CD8, IFN-gamma, LT-alpha, TNF","Company","1","more details"
"Human","Undefined","Dendritic cell","Normal","ADAM19, B220, BDCA2, CD11c, CD14, CD1a, CD1b, CD1c, CD21, CD45, CD83, CD86, CLIP-170, Clusterin, DCLAMP, CD209, CD302, IL-12, IL-6, IRF7, IRF8, MADDAM, TLR7, TLR9, TNF-alpha","Company","1","more details"
"Human","Undefined","Dendritic cell","Normal","CD11b, CD13, CD33, CD80, CD83, CD86, MHC class II","Company","1","more details"
"Human","Undefined","Dendritic cell","Normal","CD11c, HLA-DR","Company","1","more details"
"Human","Undefined","Dopaminergic neuron","Normal","Dopamine transporter, FOXA2, GIRK2, LMX1B, NURR1, Tyrosine hydroxylase","Company","1","more details"
"Human","Undefined","Effector memory T cell","Normal","CD127, CD197, CD44, CD45RO, CD62L, EOMES, KLRG1","Company","1","more details"
"Human","Undefined","Effector T cell","Normal","CD122, CD134, CD137, CD223, CD25, CD272, CD278, CD279, CD30, CD366, CD69, KLRG1, T-bet","Company","1","more details"
"Human","Undefined","Embryonic stem cell","Normal","CD117, CD24, CD29, CD31, CD324, CD326, CD59, CD9, CD90","Company","1","more details"
"Human","Undefined","Embryonic stem cell","Normal","CD24, CD29, CD324, CD338, CD49f, CD9, SSEA-1, SSEA-3, SSEA-4, SSEA-5, TRA-1-60, TRA-1-81, TRA-2-49, TRA-2-54","Company","1","more details"
"Human","Undefined","Embryonic stem cell","Normal","NANOG, OCT3/4, SOX2","Company","1","more details"
"Human","Undefined","Endothelial cell","Normal","Apelin, CD141, CD144, CD146, CD31, CD62E, ENOS, ICAM1, VEGF R1, VEGF R2, VEGF R3","Company","1","more details"
"Human","Undefined","Endothelial cell","Normal","CD105, CD106, CD144, CD146, CD202b, CD309, CD31, CD34, CD54, CD61, CD62E, Podoplanin","Company","1","more details"
"Human","Undefined","Eosinophil","Normal","C3AR, CD129, CD183, CD191, CD193, CD23, CD244, CD294, CD305, CD49d, CD52, CD53, CD88, Fc-epsilon RI-alpha, Galectin-9, MRP-14, Siglec-10, SIGLEC8, SSEA-1","Company","1","more details"
"Human","Undefined","Eosinophil","Normal","CD116, CD123, CD125, CD126, CD15, CD193, CD24, CD244, CD35, CD43, CD64, CD9, Fc-epsilon RI-alpha","Company","1","more details"
"Human","Undefined","Eosinophil","Normal","CD125, CD193, CD45, F4/80, SIGLEC8","Company","1","more details"
"Human","Undefined","Epithelial cell","Normal","Adhesion molecules, LFA1, Adhesion molecules LFA2, CD227, E-cadherin, EMA, Epithelial Sodium Channels alpha, Epithelial Sodium Channels beta, Epithelial Sodium Channels gamma, Epithelial Sodium Channels delta, Fc part of the IgG, ICAM1, Keratin-1, Keratin-10, Keratin-14, Keratin-15, Keratin-16, Keratin-18, Keratin-2, Keratin-3, Keratin-5, Keratin-6, Keratin-7, Keratin-8, MUC1, Prostate specific antigen, Surfactant protein A, Surfactant protein B, Surfactant protein C, Surfactant protein D, Survivin, VLA2, VLA3, VLA4, VLA5, VLA6","Company","1","more details"
"Human","Undefined","Epithelial cell","Normal","CD103, CD106, CD126, CD13, CD130, CD141, CD1d, CD24, CD324, iNOS","Company","1","more details"
"Human","Undefined","Epithelial cell","Normal","CD104, CD121a, CD133, CD167, CD24, CD326, CD44R, CD49f, CD66a, CD75, Cytokeratin","Company","1","more details"
"Human","Undefined","Epithelial cell","Normal","CD104, CD121a, CD133, CD167a, CD24, CD326, CD49f, CD66a, CD75, Cytokeratin, MHC class II","Company","1","more details"
"Human","Undefined","Exhausted T cell","Normal","CD152, CD160, CD223, CD244, CD272, CD278, CD279, CD3, CD366, CD4, CD8, CD96, EOMES, TIGIT, VISTA","Company","1","more details"
"Human","Undefined","Fibroblast","Normal","CD10, CD121a, CD140a, CD140b, CD29, CD47, CD81, CD91, Vimentin","Company","1","more details"
"Human","Undefined","Fibroblast","Normal","CD10, CD121a, CD29, CD47, CD81, CD91","Company","1","more details"
"Human","Undefined","Follicular B cell","Normal","B220, BCL6, CD137, CD20, CD21, CD22, CD23, CD24, CD27, CD275, CD279, CD360, CD40, CD69, CD80, CD81, CD86, EBF1, FOXO1, HLA-DR, IgD, IgM, IKAROS, PAX5","Company","1","more details"
"Human","Undefined","Follicular helper (Tfh) T cell","Normal","BATF, BCL6, c-Maf, CD183, CD185, CD278, CD279, IRF4, STAT3","Company","1","more details"
"Human","Undefined","Follicular helper (Tfh) T cell","Normal","BCL6, CD126, CD150, CD154, CD185, CD252, CD278, CD279, CD3, CD4, CD84, STAT3, TCR alpha/beta","Company","1","more details"
"Human","Undefined","Follicular helper (Tfh) T cell","Normal","BCL6, CD4, CXCR5, IL-12, IL-21, IL-6, MAF","Company","1","more details"
"Human","Undefined","GABAergic neuron","Normal","GABAB receptor 2, GABAB receptor 1, GABA transporter 1, GAD65, GAD67","Company","1","more details"
"Human","Undefined","Germ cell","Normal","AP2-gamma, DAZL1, EGFR, GP90-MC301, M2A, MAGE-A4, OCT3/4, RBM, Tesmin, TEX101, VASA, ZAR1","Company","1","more details"
"Human","Undefined","Germ cell","Normal","PRDM1, CD117, ESGP, FABP9, GAPDH2, NR6A1, KLF17, MEA1, Musashi-1, PIWIL1, PIWIL2, PIWIL4, SCARA5, TDRD1, TDRKH, TEX19, TEX19.1, TRA-1-60(R), TRA-1-81, VASA, TEX11","Company","1","more details"
"Human","Undefined","Germinal center B cell","Normal","AID, BACH2, BCL6, B220, CD81, IRF8, NF-kappa-B, PAX5","Company","1","more details"
"Human","Undefined","Glial cell","Normal","3A7, 3CB2, A2B5, BLBP, CD11b, CD14, CD45, CD68, FGFR3, GFAP, MHC class I, MHC class II, MBP, Myelin protein zero, Neurofilament protein, platelet-derived growth factor(PDGF)receptor, S100, Ran2, S22, Vimentin","Company","1","more details"
"Human","Undefined","Glutamatergic neuron","Normal","Glutaminase, Glutamine synthetase, NMDAR1, NMDAR2B, VGLUT1, VGLUT2","Company","1","more details"
"Human","Undefined","Granulocyte-monocyte progenitor","Normal","CD10, CD123, CD135, CD34, CD38, CD45RA","Company","1","more details"
"Human","Undefined","Granulocyte","Normal","CD11b, CD13, CD15, CD32, CD33","Company","1","more details"
"Human","Undefined","Granulosa cell","Normal","CD146, CACNA1F, Fibronectin, Follicle regulatory protein","Company","1","more details"
"Human","Undefined","Hematopoietic stem cell","Normal","CD34, CD38, CD45RA, CD49, CD90","Company","1","more details"
"Human","Undefined","IgG memory B cell","Normal","CD19, CD27, IgD, IgG","Company","1","more details"
